,type_ids,parent_id,scientific_name,en_name,en_wikipedia_url
1401,2113,277.0,Cornus officinalis,Japanese cornelian cherry,https://en.wikipedia.org/wiki/Cornus_officinalis
1402,2114,172.0,Crataegus aestivalis,Eastern mayhaw,https://en.wikipedia.org/wiki/Crataegus_aestivalis
1403,2115,172.0,Crataegus opaca,Western mayhaw,
1404,2116,,Coccoloba diversifolia,Pigeon plum,https://en.wikipedia.org/wiki/Coccoloba_diversifolia
1405,2117,172.0,Crataegus tanacetifolia,Tansy-leaved thorn,https://en.wikipedia.org/wiki/Crataegus_tanacetifolia
1406,2118,,Curcuma longa,Tumeric,https://en.wikipedia.org/wiki/Turmeric
1407,2119,,Davidsonia pruriens,Davidson's plum,https://en.wikipedia.org/wiki/Davidsonia_pruriens
1408,2120,12.0,Diospyros blancoi,Mabolo,https://en.wikipedia.org/wiki/Diospyros_blancoi
1409,2121,,Diploglottis cunninghamii,Native tamarind,https://en.wikipedia.org/wiki/Diploglottis_australis
1410,2122,2028.0,Dovyalis hebecarpa,Ceylon gooseberry,https://en.wikipedia.org/wiki/Dovyalis_hebecarpa
1411,2123,,Elaeis guineensis,African oil palm,https://en.wikipedia.org/wiki/Elaeis_guineensis
1412,2124,,Escobaria missouriensis,Missouri foxtail cactus,https://en.wikipedia.org/wiki/Escobaria_missouriensis
1413,2125,1114.0,Eugenia reinwardtiana,Cedar bay cherry,https://en.wikipedia.org/wiki/Eugenia_reinwardtiana
1414,2126,,Eupomatia laurina,Bolwarra,https://en.wikipedia.org/wiki/Eupomatia_laurina
1415,2127,,Eustrephus latifolius,Wombat berry,https://en.wikipedia.org/wiki/Eustrephus
1416,2128,1370.0,Euterpe edulis,Juçara,https://en.wikipedia.org/wiki/Euterpe_edulis
1417,2129,445.0,Ficus aurea,Florida strangler fig,https://en.wikipedia.org/wiki/Ficus_aurea
1418,2130,445.0,Ficus auriculata,Roxburgh fig,https://en.wikipedia.org/wiki/Ficus_auriculata
1419,2131,445.0,Ficus sur,Broom cluster fig,https://en.wikipedia.org/wiki/Ficus_sur
1420,2132,445.0,Ficus racemosa,Cluster fig,https://en.wikipedia.org/wiki/Ficus_racemosa
1421,2133,445.0,Ficus citrifolia,Shortleaf fig,https://en.wikipedia.org/wiki/Ficus_citrifolia
1422,2134,445.0,Ficus palmata,Bedu,https://en.wikipedia.org/wiki/Ficus_palmata
1423,2135,445.0,Ficus pseudopalma,Philippine fig,https://en.wikipedia.org/wiki/Ficus_pseudopalma
1424,2136,445.0,Ficus pumila,Creeping fig,https://en.wikipedia.org/wiki/Ficus_pumila
1425,2137,445.0,Ficus sycomorus,Sycamore fig,https://en.wikipedia.org/wiki/Ficus_sycomorus
1426,2138,2140.0,Garcinia livingstonei,Imbe,https://en.wikipedia.org/wiki/Garcinia_livingstonei
1427,2139,2140.0,Garcinia mangostana,Purple mangosteen,https://en.wikipedia.org/wiki/Purple_mangosteen
1428,2140,,Garcinia,Garcinia,https://en.wikipedia.org/wiki/Garcinia
1429,2141,,Gaultheria procumbens,Checkerberry,https://en.wikipedia.org/wiki/Gaultheria_procumbens
1430,2142,,Gaylussacia baccata,Black huckleberry,https://en.wikipedia.org/wiki/Gaylussacia_baccata
1431,2143,,Gaylussacia frondosa,Dangleberry,https://en.wikipedia.org/wiki/Gaylussacia_frondosa
1432,2144,,Grewia asiatica,Phalsa,https://en.wikipedia.org/wiki/Grewia_asiatica
1433,2145,,Hyphaene thebaica,Doum palm,https://en.wikipedia.org/wiki/Hyphaene_thebaica
